Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
 105,   1,   1,    65.64944,    53.56802,    92.27848,    39.29437,    92.09485,    65.19059,   247.34625,    69.60831,   121.58673,   255.22299,   672.25696,     0.00000,    94.00000,     0.00000,   494.02475,     0.00000
 106,   1,   1,    65.67662,    53.63260,    92.44015,    39.39511,    92.45888,    65.41651,     0.00000,    69.60831,   163.97211,   310.71564,   635.58429,     0.00000,   555.02789,     0.00000,   230.00000,     0.00000
 107,   1,   1,    65.64944,    53.47451,    92.70842,    39.25759,    92.57667,    65.30250,     0.00000,    69.60831,   166.87003,   310.85504,   545.52502,     0.00000,   555.02789,     0.00000,   659.19995,     0.00000
 108,   1,   1,    65.64944,    53.56796,    92.53666,    39.32635,    92.17465,    65.07674,   247.37085,    69.60831,   144.60321,   310.88037,   471.68912,     0.00000,   555.02789,     0.00000,   494.52789,     0.00000
 109,   1,   1,    65.64944,    53.56803,    92.23705,    39.34000,    92.43182,    65.47552,   247.35396,    69.60831,   135.99719,   310.90573,   471.68695,     0.00000,   554.91858,     0.00000,   503.38165,     0.00000
 110,   1,   1,    65.67662,    53.63264,    92.27848,    39.50431,    92.63992,    65.26076,   247.33707,    69.60831,   137.38234,   310.93109,   471.68478,     0.00000,   554.56183,     0.00000,   501.95261,     0.00000
 111,   1,   1,    65.67662,    53.53920,    92.44015,    39.13474,    92.39990,    65.20934,     0.00000,    69.60831,   137.88872,   311.26611,   672.17542,     0.00000,   554.27655,     0.00000,   564.30884,     0.00000
 112,   1,   1,    65.64944,    53.47458,    92.44015,    39.32635,    92.19181,    65.26061,   247.34093,    69.60831,   138.30347,   310.98178,   270.94382,     0.00000,   554.13428,     0.00000,   702.75336,     0.00000
 113,   1,   1,    65.64944,    53.56799,    92.44015,    39.32635,    92.41586,    65.36316,   247.32404,    69.60831,   192.80843,   311.47409,   773.96173,     0.00000,    94.00000,     0.00000,   601.25409,     0.00000
 114,   1,   1,    65.64944,    53.56799,    92.44015,    39.32635,    92.41586,    65.20410,     0.00000,    69.60831,   192.80843,   312.23294,   946.45172,     0.00000,   554.83539,     0.00000,   230.00000,     0.00000
 115,   1,   1,    65.67662,    53.63255,    92.67637,    39.42681,    92.69415,    65.32364,   247.32790,   207.15105,   197.17523,   313.14145,  1043.24438,     0.00000,   721.33508,     0.00000,   925.73602,     0.00000
 116,   1,   1,    65.64944,    53.47463,    92.20393,    39.32648,    92.53349,    65.17542,   247.31102,   206.83965,   197.16678,   314.02444,  1026.65063,     0.00000,   889.07886,     0.00000,   775.24957,     0.00000
 117,   1,   1,    65.64944,    53.56799,    92.44015,    39.22575,    92.13758,    65.38807,   247.29413,    95.64699,   197.15833,   314.35947,   671.91034,     0.00000,   881.16467,     0.00000,  1258.94922,     0.00000
 118,   1,   1,    65.67662,    53.64790,    92.74360,    39.34000,    92.47500,    65.54369,   247.27725,   114.95656,   197.14987,   511.39667,   471.39828,     0.00000,   852.60437,     0.00000,  1268.80701,     0.00000
 119,   1,   1,    65.64944,    53.47465,    92.11800,    39.50431,    92.47911,    65.11840,   247.26036,    69.60831,   194.97063,   263.95407,    94.30517,     0.00000,   443.43546,     0.00000,   773.17743,     0.00000
 120,   1,   1,    65.67662,    53.63260,    92.44015,    39.23545,    92.67847,    65.21151,     0.00000,    69.60831,   195.11362,   262.01443,   270.75742,     0.00000,   599.79675,     0.00000,   703.27368,     0.00000
 121,   1,   1,    65.64944,    53.47458,    92.44015,    39.37629,    92.20718,    65.33273,   247.26424,    69.60831,   197.13272,   265.72617,   853.48914,     0.00000,    94.00000,     0.00000,  1121.83325,     0.00000
